t_start,P_bess_kW,I_dis_A,I_ch_A,C_dch,C_ch,T_degC,EFC_start,EFC_end,dSOH_cyc_pp,dSOH_cal_pp
28-Jan-2023 00:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000295174320051939
28-Jan-2023 01:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000294947000489876
28-Jan-2023 02:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000294720205310017
28-Jan-2023 03:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000294493932499584
28-Jan-2023 04:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000294268180056234
28-Jan-2023 05:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.00029404294598856
28-Jan-2023 06:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000293818228315756
28-Jan-2023 07:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000293594025067678
28-Jan-2023 08:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000293370334284448
28-Jan-2023 09:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000293147154016904
28-Jan-2023 10:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000292924482326151
28-Jan-2023 11:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000292702317283511
28-Jan-2023 12:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000292480656970517
28-Jan-2023 13:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000292259499479086
28-Jan-2023 14:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000292038842911013
28-Jan-2023 15:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000291818685378031
28-Jan-2023 16:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000291599025002087
28-Jan-2023 17:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000291379859914842
28-Jan-2023 18:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000291161188257782
28-Jan-2023 19:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000290943008182165
28-Jan-2023 20:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000290725317848906
28-Jan-2023 21:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000290508115428578
28-Jan-2023 22:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000290291399101306
28-Jan-2023 23:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000290075167056647
29-Jan-2023 00:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000289859417493599
29-Jan-2023 01:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000289644148620705
29-Jan-2023 02:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000289429358655446
29-Jan-2023 03:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000289215045824853
29-Jan-2023 04:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000289001208365003
29-Jan-2023 05:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000288787844521077
29-Jan-2023 06:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000288574952547471
29-Jan-2023 07:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000288362530707298
29-Jan-2023 08:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000288150577272772
29-Jan-2023 09:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000287939090525158
29-Jan-2023 10:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000287728068754045
29-Jan-2023 11:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000287517510258462
29-Jan-2023 12:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000287307413345372
29-Jan-2023 13:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000287097776331124
29-Jan-2023 14:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000286888597540058
29-Jan-2023 15:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000286679875305451
29-Jan-2023 16:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000286471607968908
29-Jan-2023 17:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000286263793880304
29-Jan-2023 18:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000286056431398174
29-Jan-2023 19:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000285849518889214
29-Jan-2023 20:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.00028564305472828
29-Jan-2023 21:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000285437037298664
29-Jan-2023 22:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000285231464991542
29-Jan-2023 23:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000285026336206473
30-Jan-2023 00:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000284821649350786
30-Jan-2023 01:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000284617402840082
30-Jan-2023 02:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000284413595097621
30-Jan-2023 03:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000284210224554715
30-Jan-2023 04:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000284007289650612
30-Jan-2023 05:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000283804788832054
30-Jan-2023 06:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000283602720553833
30-Jan-2023 07:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.00028340108327829
30-Jan-2023 08:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000283199875475315
30-Jan-2023 09:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000282999095622627
30-Jan-2023 10:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000282798742205159
30-Jan-2023 11:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000282598813715784
30-Jan-2023 12:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.00028239930865448
30-Jan-2023 13:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000282200225528662
30-Jan-2023 14:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000282001562853185
30-Jan-2023 15:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000281803319150342
30-Jan-2023 16:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000281605492949311
30-Jan-2023 17:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000281408082786816
30-Jan-2023 18:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.00028121108720669
30-Jan-2023 19:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000281014504759702
30-Jan-2023 20:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000280818334004063
30-Jan-2023 21:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000280622573504641
30-Jan-2023 22:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000280427221833579
30-Jan-2023 23:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000280232277569736
31-Jan-2023 00:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000280037739299022
31-Jan-2023 01:00:00,0,0,0,0,0,25,4.8390057763635,4.8390057763635,0,0.000279843605614338
