Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
3288,0,81.729,0,4.45839129367482,0,0,0,0,0,294.833741844858,593.762884260547
3289,0,81.682,0,4.45582740092191,0,0,0,0,0,290.375350551183,584.784172200217
3290,0,84.326,0,4.6000600060006,0,0,0,0,0,285.919523150261,575.810623539254
3291,8.054,91.346,0.183496287139722,4.98300739164826,0.808348538382903,0.0304997016786217,1.48988966691657,0.960758466200847,0.488041802559784,281.31946314426,566.546606199028
3292,91.946,109.333,2.00511367152129,5.96421460327851,0.771219449756274,0.321397003299117,1.61934832789329,0.99627608514703,5.29045896959069,276.519952039752,556.88091617786
3293,313.96,124.256,6.18642225858738,6.77827782778278,0.692513120912168,0.989117566162033,1.80794291837768,0.998789976929709,16.2133614855954,272.560851107995,548.907720255272
3294,623.826,133.097,11.113610564931,7.26056241987835,0.622832617962443,1.77594898047576,2.01128871316495,0.999326075755867,29.0969677586507,271.968995538799,547.715787922045
3295,950.201,136.587,15.596591884726,7.45094509450945,0.571813343600897,2.49184419553278,2.19116768335052,0.999519691047927,41.1029292128635,275.822043683852,555.475405140501
3296,1250.47,140.347,19.2852226220507,7.65605651474238,0.536114376113929,3.0808881612756,2.33728862719124,0.999611522713051,51.5160106439011,283.967690474068,571.879846172463
3297,1498.591,142.837,22.0944048870615,7.79188827973706,0.511938586356049,3.52949144518048,2.44778565712581,0.999660898717882,60.1244836792409,295.596856581377,595.299713811133
3298,1649.195,141.268,20.3072522574192,7.70629790251752,0.499067545303683,3.78702885609206,2.51097240894063,0.999683959346557,65.9256925767233,309.899373188701,624.103416738114
3299,1668.658,139.751,7.70629790251752,7.62354417259908,0.497570519715941,3.8178912046452,2.51853353300418,0.99968651409636,67.6794104605979,322.500327543603,649.480359537758
3300,1570.805,137.761,7.62354417259905,7.5149878624226,0.505784025763211,3.65092096517202,2.47759913963432,0.999672177216187,64.7261460765168,322.583081273521,649.647016491783
3301,1418.926,136.544,7.51498786242263,7.44859940539508,0.519532199496221,3.38383785020283,2.4119729888486,0.999646302474507,59.9987053600973,322.691637583698,649.865637018157
3302,1201.879,132.906,7.4485994053951,7.2501431961378,0.541699350162397,2.98326890156019,2.3131615331726,0.999598810863593,52.8986527778474,322.758026040725,649.999336103885
3303,900.872,133.332,7.2501431961378,7.27338188364291,0.578977558785728,2.38299404872192,2.16400687441257,0.999497751547081,42.2622187307733,322.956482249983,650.399005186774
3304,578.591,131.451,7.27338188364291,7.17077162261681,0.631794646292397,1.66336005022804,1.98266800785334,0.99928045940858,29.4921889381118,322.933243562477,650.352205013791
3305,267.248,129.339,5.34344918710537,7.05556010146469,0.706439263318225,0.854501705589255,1.77196441814787,0.998599353206135,15.1425881777867,323.035853823504,650.558850848018
3306,75.638,124.679,1.65887607331101,6.80135286255898,0.779304708298106,0.266105708923858,1.60130303600813,0.995502332215548,4.68970604678828,321.323742909144,647.110846870173
3307,3.826,119.506,0.0844794903084859,6.51916100700979,0.784554492964878,0.0146875342826181,1.46757516432465,0.918512185145867,0.237082420366837,316.181266119896,636.754461500165
3308,0,115.137,0,6.28082808280828,0,0,0,0,0,309.746584603195,623.795717250787
3309,0,105.123,0,5.73455527370919,0,0,0,0,0,303.465756520387,611.146816976831
3310,0,97.652,0,5.32700542781551,0,0,0,0,0,297.731201246678,599.598050346651
3311,0,93.509,0,5.10100100919183,0,0,0,0,0,292.404195818862,588.870044496643
3312,0,90.863,0,4.95665930229387,0,0,0,0,0,287.30319480967,578.597186807826
3313,0,90.76,0,4.95104055860131,0,0,0,0,0,282.346535507376,568.615017517394
3314,0,92.355,0,5.0380492594714,0,0,0,0,0,277.395494948775,558.644163761744
3315,7.246,98.141,0.164896904632485,5.35368082262772,0.80657800629931,0.0275295333932549,1.48658023118114,0.956524687244465,0.432010790677058,272.357445689304,548.498084006312
3316,95.008,113.183,2.07004996235543,6.17423560537872,0.769744822435248,0.331766794421476,1.62264012273397,0.996392480819629,5.3747043488162,267.168661771308,538.048441147678
3317,327.63,127.317,6.42719799805487,6.94525816217985,0.688665655608137,1.02756746980662,1.81812602289127,0.998835254025207,16.5668483375294,263.064476128285,529.783060497234
3318,665.593,135.046,11.7287329953945,7.36688214275973,0.615243218664571,1.87417896923315,2.03617115012491,0.999361397660558,30.2041669706556,262.54641596416,528.739744032346
3319,1041.801,138.225,16.7702036300907,7.5402994844939,0.559914766601691,2.67926033066844,2.23780673515071,0.999553288995255,43.5224756035403,266.908266816795,537.524034211513
3320,1363.392,141.249,20.6004124242314,7.70526143523443,0.524502209078385,3.29091314668329,2.38909406076954,0.999636315204644,54.3188746339651,276.138170962392,556.112050876925
3321,1574.745,144.646,22.9317313255558,7.89057087526934,0.505170035980418,3.66320558494545,2.48061317162515,0.999673276575248,61.7601619396454,289.033321951389,582.081473495558
