cond_id,T_degC,T_K,SOC_store,SOC_pct,t_h,Q_Ah,SOH_init,EFC,T_degC_n,SOC_store_n,t_h_n
TP_40C_12SOC,40,313.15,0.125,12.5,6388.1,2.9175581661245,0.974454573278782,0,0.205731333172674,-1.10986361100049,-0.366976685185579
TP_40C_12SOC,40,313.15,0.125,12.5,7026.7,2.91271432604751,0.972836747053393,0,0.205731333172674,-1.10986361100049,-0.26736004251232
TP_40C_12SOC,40,313.15,0.125,12.5,7663.4,2.90711411757997,0.970966296340235,0,0.205731333172674,-1.10986361100049,-0.168039785089732
TP_40C_12SOC,40,313.15,0.125,12.5,8300.1,2.90194525279269,0.969239912959397,0,0.205731333172674,-1.10986361100049,-0.0687195276671444
TP_40C_12SOC,40,313.15,0.125,12.5,9031.6,2.89194863143169,0.96590107518894,0,0.205731333172674,-1.10986361100049,0.0453887938416083
TP_40C_12SOC,40,313.15,0.125,12.5,9665.8,2.88847994468534,0.964742545531331,0,0.205731333172674,-1.10986361100049,0.144319070671206
TP_40C_12SOC,40,313.15,0.125,12.5,10302,2.88372178742421,0.963153337077041,0,0.205731333172674,-1.10986361100049,0.243561331975196
TP_40C_12SOC,40,313.15,0.125,12.5,10939,2.87869786776903,0.961475364880765,0,0.205731333172674,-1.10986361100049,0.342928387068942
TP_40C_12SOC,40,313.15,0.125,12.5,11575,2.87325162667446,0.959656338750146,0,0.205731333172674,-1.10986361100049,0.442139449925493
TP_40C_12SOC,40,313.15,0.125,12.5,12211,2.86839777861528,0.958035169892508,0,0.205731333172674,-1.10986361100049,0.541350512782044
TP_40C_12SOC,40,313.15,0.125,12.5,12844,2.86307937229944,0.956258840146216,0,0.205731333172674,-1.10986361100049,0.640093598927007
TP_40C_12SOC,40,313.15,0.125,12.5,13481,2.85919900325859,0.954962809992723,0,0.205731333172674,-1.10986361100049,0.739460654020753
TP_40C_12SOC,40,313.15,0.125,12.5,14119,2.85396060159898,0.953213201531392,0,0.205731333172674,-1.10986361100049,0.838983701351695
TP_40C_12SOC,40,313.15,0.125,12.5,14695,2.84883424129114,0.951501014503126,0,0.205731333172674,-1.10986361100049,0.928835229976496
TP_40C_12SOC,40,313.15,0.125,12.5,15148,2.84155350480795,0.949069273108812,0,0.205731333172674,-1.10986361100049,0.999499713426209
TP_40C_12SOC,40,313.15,0.125,12.5,15811,2.83811269792865,0.947920055232633,0,0.205731333172674,-1.10986361100049,1.10292256668705
TP_40C_12SOC,40,313.15,0.125,12.5,17001,2.83054103281938,0.945391144659836,0,0.205731333172674,-1.10986361100049,1.28855332895009
TP_40C_12SOC,40,313.15,0.125,12.5,18239,2.82222944950146,0.942615103904462,0,0.205731333172674,-1.10986361100049,1.48167171859853
TP_40C_12SOC,40,313.15,0.125,12.5,19190,2.81560217698587,0.940401617268218,0,0.205731333172674,-1.10986361100049,1.63002033617177
TP_40C_12SOC,40,313.15,0.125,12.5,20163,2.80903370903091,0.938207771156609,0,0.205731333172674,-1.10986361100049,1.78180078296332
TP_40C_12SOC,40,313.15,0.125,12.5,21241,2.79920026653544,0.934923434576093,0,0.205731333172674,-1.10986361100049,1.94996041466043
TP_40C_25SOC,40,313.15,0.25,25,0,2.99911279136341,1,0,0.205731333172674,-0.739909074000325,-1.36347069561629
TP_40C_25SOC,40,313.15,0.25,25,160.33,2.99060839208556,0.997164361639769,0,0.205731333172674,-0.739909074000325,-1.33846046022668
TP_40C_25SOC,40,313.15,0.25,25,276.98,2.98641627269096,0.995766575132148,0,0.205731333172674,-0.739909074000325,-1.32026396575779
TP_40C_25SOC,40,313.15,0.25,25,408.99,2.98063243873549,0.993838060148609,0,0.205731333172674,-0.739909074000325,-1.29967143052556
TP_40C_25SOC,40,313.15,0.25,25,708.11,2.97019289844463,0.990357183963851,0,0.205731333172674,-0.739909074000325,-1.25301103253555
TP_40C_25SOC,40,313.15,0.25,25,1009.1,2.96273916569936,0.987871871385166,0,0.205731333172674,-0.739909074000325,-1.20605892906197
TP_40C_25SOC,40,313.15,0.25,25,1285.6,2.95664488151565,0.985839842379368,0,0.205731333172674,-0.739909074000325,-1.16292707547732
TP_40C_25SOC,40,313.15,0.25,25,1945,2.94506104690745,0.981977421919038,0,0.205731333172674,-0.739909074000325,-1.06006579427039
TP_40C_25SOC,40,313.15,0.25,25,2579.2,2.93518199360573,0.978683429999104,0,0.205731333172674,-0.739909074000325,-0.961135517440793
TP_40C_25SOC,40,313.15,0.25,25,3286.7,2.92582391474432,0.975563147598136,0,0.205731333172674,-0.739909074000325,-0.85077100962474
TP_40C_25SOC,40,313.15,0.25,25,3872.7,2.91818687239569,0.973016713742556,0,0.205731333172674,-0.739909074000325,-0.759359558627981
TP_40C_25SOC,40,313.15,0.25,25,4483,2.91025590322585,0.9703722752964,0,0.205731333172674,-0.739909074000325,-0.664157496267363
TP_40C_25SOC,40,313.15,0.25,25,5118.6,2.90328345177606,0.968047437274346,0,0.205731333172674,-0.739909074000325,-0.565008830305691
TP_40C_25SOC,40,313.15,0.25,25,5753.1,2.89599857878134,0.965618427930083,0,0.205731333172674,-0.739909074000325,-0.466031755804934
TP_40C_25SOC,40,313.15,0.25,25,6388.1,2.88806829293145,0.962974217324625,0,0.205731333172674,-0.739909074000325,-0.366976685185579
TP_40C_25SOC,40,313.15,0.25,25,7026.7,2.88192250118991,0.960925014053831,0,0.205731333172674,-0.739909074000325,-0.26736004251232
TP_40C_25SOC,40,313.15,0.25,25,7663.4,2.87692671312928,0.959259258742789,0,0.205731333172674,-0.739909074000325,-0.168039785089732
TP_40C_25SOC,40,313.15,0.25,25,8300.1,2.87079447489836,0.957214574645352,0,0.205731333172674,-0.739909074000325,-0.0687195276671444
TP_40C_25SOC,40,313.15,0.25,25,9031.6,2.85962669322762,0.953490879523614,0,0.205731333172674,-0.739909074000325,0.0453887938416083
TP_40C_25SOC,40,313.15,0.25,25,9665.8,2.8553396418788,0.952061439670213,0,0.205731333172674,-0.739909074000325,0.144319070671206
TP_40C_25SOC,40,313.15,0.25,25,10302,2.85035728750016,0.950400163577834,0,0.205731333172674,-0.739909074000325,0.243561331975196
TP_40C_25SOC,40,313.15,0.25,25,10939,2.84488255150425,0.948574711726982,0,0.205731333172674,-0.739909074000325,0.342928387068942
TP_40C_25SOC,40,313.15,0.25,25,11575,2.83877939442901,0.946539724215737,0,0.205731333172674,-0.739909074000325,0.442139449925493
TP_40C_25SOC,40,313.15,0.25,25,12211,2.83308175738204,0.944639950034726,0,0.205731333172674,-0.739909074000325,0.541350512782044
TP_40C_25SOC,40,313.15,0.25,25,12844,2.82856550858766,0.943134088432127,0,0.205731333172674,-0.739909074000325,0.640093598927007
TP_40C_25SOC,40,313.15,0.25,25,13481,2.82234770873289,0.941060875356354,0,0.205731333172674,-0.739909074000325,0.739460654020753
TP_40C_25SOC,40,313.15,0.25,25,14119,2.81718081943637,0.939338069428081,0,0.205731333172674,-0.739909074000325,0.838983701351695
TP_40C_25SOC,40,313.15,0.25,25,14695,2.81216044323106,0.937664115644227,0,0.205731333172674,-0.739909074000325,0.928835229976496
TP_40C_25SOC,40,313.15,0.25,25,15148,2.80504648659831,0.935292095274324,0,0.205731333172674,-0.739909074000325,0.999499713426209
TP_40C_25SOC,40,313.15,0.25,25,15811,2.80154470550731,0.93412448960738,0,0.205731333172674,-0.739909074000325,1.10292256668705
TP_40C_25SOC,40,313.15,0.25,25,17001,2.79338873826649,0.931405029617643,0,0.205731333172674,-0.739909074000325,1.28855332895009
TP_40C_25SOC,40,313.15,0.25,25,18239,2.78496498062024,0.928596279753181,0,0.205731333172674,-0.739909074000325,1.48167171859853
TP_40C_25SOC,40,313.15,0.25,25,19190,2.77779506503256,0.926205600880306,0,0.205731333172674,-0.739909074000325,1.63002033617177
TP_40C_25SOC,40,313.15,0.25,25,20163,2.7713572351126,0.924059022752768,0,0.205731333172674,-0.739909074000325,1.78180078296332
TP_40C_25SOC,40,313.15,0.25,25,21241,2.76084177847413,0.920552833632855,0,0.205731333172674,-0.739909074000325,1.94996041466043
TP_40C_38SOC,40,313.15,0.375,37.5,0,2.99268902370095,1,0,0.205731333172674,-0.369954537000163,-1.36347069561629
TP_40C_38SOC,40,313.15,0.375,37.5,160.33,2.97989014715114,0.995723285497274,0,0.205731333172674,-0.369954537000163,-1.33846046022668
