cond_id,T_degC,T_K,SOC_store,SOC_pct,t_h,Q_Ah,SOH_init,EFC,source_col,T_degC_n,SOC_store_n,t_h_n,T_degC_trn,SOC_store_trn,t_h_trn
TP_40C_75SOC,40,313.15,0.75,75,276.98,2.94814862712388,0.983815127688881,0,"TP_40°C,75%SOC",0.205731333172674,0.739909074000325,-1.32026396575779,0.205662051698013,0.739659904411175,-1.30707991278229
TP_40C_62SOC,40,313.15,0.625,62.5,19190,2.72094887529192,0.908416998781413,0,"TP_40°C,62.5%SOC",0.205731333172674,0.369954537000163,1.63002033617177,0.205662051698013,0.369829952205587,1.66475316687773
TP_60C_100SOC,60,333.15,1,100,18239,2.35311959189484,0.786749134851289,0,"TP_60°C,100%SOC",1.4775250291492,1.47981814800065,1.48167171859853,1.47702746219482,1.47931980882235,1.51532101597022
TP_40C_100SOC,40,313.15,1,100,9665.8,2.72233658020748,0.909404549008745,0,"TP_40°C,100%SOC",0.205731333172674,1.47981814800065,0.144319070671206,0.205662051698013,1.47931980882235,0.168200389093011
TP_60C_50SOC,60,333.15,0.5,50,5753.1,2.6839395418023,0.897387688329332,0,"TP_60°C,50%SOC",1.4775250291492,0,-0.466031755804934,1.47702746219482,0,-0.446608419377859
TP_40C_50SOC,40,313.15,0.5,50,15811,2.75850594583496,0.922689082705943,0,"TP_40°C,50%SOC",0.205731333172674,0,1.10292256668705,0.205662051698013,0,1.13380549293823
TP_10C_50SOC,10,283.15,0.5,50,11575,2.93139222176062,0.978715273098318,0,"TP_10°C,50%SOC",-1.70195921079212,0,0.442139449925493,-1.7013860640472,0,0.46819603842278
TP_0C_50SOC,0,273.15,0.5,50,12211,2.95173609387575,0.982878764138893,0,"TP_0°C,50%SOC",-2.33785605878038,0,0.541350512782044,-2.3370687692956,0,0.568131735559661
TP_60C_50SOC,60,333.15,0.5,50,1945,2.79932219788013,0.935966416873065,0,"TP_60°C,50%SOC",1.4775250291492,0,-1.06006579427039,1.47702746219482,0,-1.0449812625649
TP_0C_50SOC,0,273.15,0.5,50,10939,2.95472741524477,0.983874824137761,0,"TP_0°C,50%SOC",-2.33785605878038,0,0.342928387068942,-2.3370687692956,0,0.368260341285899
TP_60C_0SOC,60,333.15,0,0,0,2.99607084911234,1,0,"TP_60°C,0%SOC",1.4775250291492,-1.47981814800065,-1.36347069561629,1.47702746219482,-1.47931980882235,-1.3506022231486
TP_60C_100SOC,60,333.15,1,100,276.98,2.88020133303298,0.962975241363122,0,"TP_60°C,100%SOC",1.4775250291492,1.47981814800065,-1.32026396575779,1.47702746219482,1.47931980882235,-1.30707991278229
TP_25C_50SOC,25,298.15,0.5,50,14695,2.87848479916891,0.961701711270445,0,"TP_25°C,50%SOC",-0.748113938809723,0,0.928835229976496,-0.747862006174591,0,0.958446628150874
TP_40C_25SOC,40,313.15,0.25,25,708.11,2.97019289844463,0.990357183963851,0,"TP_40°C,25%SOC",0.205731333172674,-0.739909074000325,-1.25301103253555,0.205662051698013,-0.739659904411175,-1.23933576638822
TP_0C_50SOC,0,273.15,0.5,50,15148,2.9405286775678,0.979146881904298,0,"TP_0°C,50%SOC",-2.33785605878038,0,0.999499713426209,-2.3370687692956,0,1.02962724262101
