cond_id,T_degC,T_K,invTK,SOC_store,SOC_pct,t_h,sqrt_t,Q_Ah,SOH_init,dSOH,EFC,SOCc,SOCc2,source_col
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,20163,141.996478829582,2.85696189841292,0.954510910577485,0.0454890894225154,0,0,0,"TP_25°C,50%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,12844,113.331372532058,2.78351009689924,0.930103353490759,0.0698966465092408,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,10302,101.498768465435,2.71531254863028,0.907058150582067,0.0929418494179329,0,0.5,0.25,"TP_40°C,100%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,14695,121.22293512368,2.70508880710757,0.903035641247251,0.0969643587527486,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,5753.1,75.8491924808696,2.77547115047887,0.92715430863279,0.0728456913672101,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,12844,113.331372532058,2.78487941707447,0.931510710958184,0.0684892890418155,0,0,0,"TP_40°C,50%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,17001,130.387882872604,2.83054103281938,0.945391144659836,0.0546088553401644,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,8300.1,91.1048846110899,2.96380112341537,0.986896217239733,0.0131037827602674,0,0,0,"TP_0°C,50%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,5753.1,75.8491924808696,2.86085917234156,0.956925080935333,0.0430749190646671,0,0,0,"TP_40°C,50%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,12211,110.503393613047,2.79163934478268,0.932819722555189,0.0671802774448108,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,10939,104.589674442557,2.93317548636601,0.979422828357824,0.0205771716421764,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,7026.7,83.8254138075083,2.91271432604751,0.972836747053393,0.0271632529466068,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,12211,110.503393613047,2.75671006528925,0.919930915263794,0.0800690847362061,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,0,0,3.00315379838508,1,0,0,0,0,"TP_0°C,50%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,160.33,12.6621483169326,2.99843337747104,0.998428178764411,0.00157182123558852,0,0,0,"TP_0°C,50%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,0,0,2.99596759106016,1,0,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,5753.1,75.8491924808696,2.95902279454768,0.988053557682543,0.0119464423174569,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,20163,141.996478829582,2.67243273404129,0.892134114537836,0.107865885462164,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,3872.7,62.2310212032552,2.94295478130857,0.982936956971852,0.0170630430281475,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
